checkEnvironment;checkPhysical;ppd;checkEmotion;room;hour;minute;humidity;luminosity;temperature;pmv;emotion
0.0;0.0;37.54833494702525;0.0;1.0;1.0;0.0;35.5654422021978;8.84506728678022;20.9284615384615;-1.2464649297018175;0.0
0.0;1.0;21.368535218407445;0.0;3.0;1.0;0.0;30.1458413802198;7.37787603059341;22.292967032967;-0.8805375909003571;0.0
0.0;0.0;36.94524812041403;0.0;4.0;1.0;0.0;32.253873389011;8.21627103417582;21.0359340659341;-1.2344000506394666;0.0
0.0;1.0;15.839595600582811;0.0;5.0;1.0;0.0;31.3018825171271;7.93499182670995;22.8225966850829;-0.7177477224127652;0.0
0.0;1.0;25.48368242523422;0.0;6.0;1.0;0.0;31.1931611592875;7.81382009927735;21.9132315521628;-0.9847913709872306;0.0
0.0;1.0;21.88287750145294;0.0;7.0;1.0;0.0;42.6968522064516;8.98299678745161;21.9761290322581;-0.8941974491786812;0.0
0.0;1.0;19.480574174578294;0.0;8.0;1.0;0.0;31.9471589098901;8.76122778683517;22.4298901098901;-0.8285254675279152;0.0
0.0;0.0;38.425792739716364;0.0;9.0;1.0;0.0;35.0405366444444;9.36720106474444;20.878;-1.263885711526242;0.0
0.0;0.0;51.357386720954125;0.0;10.0;1.0;0.0;38.1918960967033;8.34203028525275;19.9796703296703;-1.5084138570698753;0.0
0.0;0.0;26.85153092304492;0.0;11.0;1.0;0.0;32.7287026197802;13.7496780566813;21.7704945054945;-1.0172485953847368;0.0
0.0;1.0;14.724788873974575;0.0;12.0;1.0;0.0;31.282990925;9.39649694213603;22.9498897058824;-0.6801977455032648;0.0
0.0;1.0;15.272608024794309;0.0;13.0;1.0;0.0;29.7818435403315;8.02983236627624;22.9202762430939;-0.6989062104312782;0.0
0.0;0.0;27.670179446110595;0.0;14.0;1.0;0.0;20.8101725186813;7.83899328247253;29.0006593406593;1.0362394275144218;0.0
0.0;1.0;14.155350369524456;0.0;15.0;1.0;0.0;30.417060329771;8.21179106090076;23.0370229007634;-0.660178271405971;0.0
0.0;1.0;5.411348953783403;0.0;16.0;1.0;0.0;25.3602243956044;6.87483902830769;24.9201098901099;-0.14090401299908004;0.0
0.0;1.0;12.289777079250698;0.0;17.0;1.0;0.0;28.505850021978;7.65734103181319;23.320989010989;-0.5897346751736423;0.0
0.0;0.0;38.271587461373834;0.0;18.0;1.0;0.0;35.2540633274725;6.91675877850549;20.8848351648352;-1.2608351761674588;0.0
0.0;0.0;44.66507524575199;0.0;19.0;1.0;0.0;35.6586863120879;13.6239188062967;20.4547252747253;-1.384077339258129;0.0
0.0;1.0;9.309674098211744;0.0;20.0;1.0;0.0;27.7765689777778;5.72204589845556;23.798;-0.4544229762209373;0.0
0.0;0.0;40.70499386641434;0.0;21.0;1.0;0.0;33.8414762755556;7.45985243113333;20.7507777777778;-1.3084714493088982;0.0
0.0;0.0;99.99584074404153;0.0;22.0;1.0;0.0;77.6682551866667;18.9463297516667;11.4986666666667;-3.7886816398653296;0.0
0.0;0.0;37.89548670576009;0.0;1.0;1.0;10.0;35.5956123032967;8.59354878573626;20.9034065934066;-1.2533755353662634;0.0
0.0;1.0;21.75089318093663;0.0;3.0;1.0;10.0;30.1580334989011;7.1682772798022;22.2574725274725;-0.8907114706321613;0.0
0.0;0.0;37.66826644246383;0.0;4.0;1.0;10.0;32.2363240177778;8.47710503527778;20.9874444444444;-1.24885512983251;0.0
0.0;1.0;16.137859954092477;0.0;5.0;1.0;10.0;31.3092513274725;7.91235284548901;22.7889010989011;-0.7274607584140349;0.0
0.0;1.0;25.8077181883653;0.0;6.0;1.0;10.0;31.2400055938931;7.83323331693384;21.8862086513995;-0.9925667905480913;0.0
0.0;1.0;22.104833262152482;0.0;7.0;1.0;10.0;42.7317759733333;9.40958658956667;21.956;-0.900030514156229;0.0
0.0;1.0;19.75131489359447;0.0;8.0;1.0;10.0;31.9484091824176;8.46778953569231;22.4041758241758;-0.8361787877926109;0.0
0.0;0.0;38.78704932554647;0.0;9.0;1.0;10.0;35.0534087912088;9.55770304051648;20.8549450549451;-1.2710144296420751;0.0
0.0;0.0;51.42861466282522;0.0;10.0;1.0;10.0;38.1678342021978;8.5516290358022;19.9749450549451;-1.509723912232882;0.0
0.0;0.0;26.723772038299828;0.0;11.0;1.0;10.0;32.7407275488889;13.7964884444111;21.7805555555556;-1.0142565262994503;0.0
0.0;1.0;14.94341312202883;0.0;12.0;1.0;10.0;31.2994589558824;9.34039845295588;22.9241176470588;-0.6877260580079435;0.0
0.0;1.0;15.544152178331032;0.0;13.0;1.0;10.0;29.8418600461538;8.15339140887363;22.8878571428571;-0.7079933838034789;0.0
0.0;0.0;27.652208590459907;0.0;14.0;1.0;10.0;20.8285881450549;7.75515378205495;28.9993406593407;1.035825831743123;0.0
0.0;1.0;14.292449762830188;0.0;15.0;1.0;10.0;30.4254681126904;8.13285711508629;23.0210659898477;-0.6650544115635965;0.0
0.0;1.0;5.44788348767112;0.0;16.0;1.0;10.0;25.345848632967;7.12635752928571;24.8997802197802;-0.1470225408061938;0.0
0.0;1.0;12.410547253700045;0.0;17.0;1.0;10.0;28.5035108720588;7.74159151009559;23.3053676470588;-0.5945540273609271;0.0
0.0;0.0;39.20049143449344;0.0;18.0;1.0;10.0;35.2711559377778;6.65452745242222;20.8217777777778;-1.2791431415444956;0.0
0.0;0.0;45.46767210935228;0.0;19.0;1.0;10.0;35.6394412666667;13.7752956817;20.4023333333333;-1.3991718261832584;0.0
0.0;1.0;9.533570455775518;0.0;20.0;1.0;10.0;27.7787280791209;5.826845274;23.759010989011;-0.46599352178505987;0.0
0.0;0.0;41.14309884932695;0.0;21.0;1.0;10.0;33.7909305362637;7.37787603069231;20.7223076923077;-1.3169423442455643;0.0
0.0;0.0;99.99617851081611;0.0;22.0;1.0;10.0;77.6117729333333;19.2006429026667;11.4666666666667;-3.7981192260377283;0.0
0.0;0.0;38.29620473856167;0.0;1.0;1.0;20.0;35.5825407648352;8.67738828606593;20.8759340659341;-1.26132247109817;0.0
0.0;1.0;22.474123813513856;0.0;3.0;1.0;20.0;30.1744653466667;7.29031033041111;22.1926666666667;-0.9096561916465737;0.0
0.0;0.0;37.94066801630385;0.0;4.0;1.0;20.0;32.2290034355556;8.47710503521111;20.9678888888889;-1.2542731498696054;0.0
0.0;1.0;16.237001047205567;0.0;5.0;1.0;20.0;31.3360016994475;7.96660533980663;22.7769613259669;-0.7306603662860089;0.0
0.0;0.0;26.242074087570955;0.0;6.0;1.0;20.0;31.2297425510204;7.85321605502806;21.851556122449;-1.0029037326790589;0.0
0.0;1.0;22.300691765026045;0.0;7.0;1.0;20.0;42.7429010133333;9.5367431654;21.9376666666667;-0.9051478136566942;0.0
0.0;1.0;20.261631026908447;0.0;8.0;1.0;20.0;31.9434786755556;8.13802083427778;22.3562222222222;-0.8504203222538822;0.0
0.0;0.0;39.06345262837659;0.0;9.0;1.0;20.0;35.0743797450549;9.43194378983516;20.8348351648352;-1.2764522735187196;0.0
0.0;0.0;51.06412542917865;0.0;10.0;1.0;20.0;38.1697123076923;8.97082653751648;19.9983516483516;-1.5030183739483054;0.0
0.0;0.0;26.87484088869725;0.0;11.0;1.0;20.0;32.7367575604396;13.8754373072637;21.7672527472527;-1.017793663025546;0.0
0.0;1.0;14.813321184128924;0.0;12.0;1.0;20.0;31.2466182833948;9.14964288902214;22.940332103321;-0.6832565292825613;0.0
0.0;1.0;15.924669143428147;0.0;13.0;1.0;20.0;29.9117708375691;8.13521074375138;22.8440883977901;-0.7205316783007595;0.0
0.0;0.0;27.54470627838606;0.0;14.0;1.0;20.0;20.8250327120879;7.58747478138462;28.990989010989;1.0333486624593926;0.0
0.0;1.0;14.605359349323649;0.0;15.0;1.0;20.0;30.4254044020408;8.14515717232398;22.9838265306122;-0.6760491202344907;0.0
0.0;1.0;5.438289100908392;0.0;16.0;1.0;20.0;25.3418390065934;7.58747478120879;24.9054945054945;-0.145440759153215;0.0
0.0;1.0;12.490055022454555;0.0;17.0;1.0;20.0;28.5054016205128;7.769127032337;23.2940659340659;-0.5977050491127643;0.0
0.0;0.0;39.69249175698233;0.0;18.0;1.0;20.0;35.2852629688889;6.8240695531;20.7885555555556;-1.2887763988557206;0.0
0.0;0.0;46.030361510650806;0.0;19.0;1.0;20.0;35.6380703511111;13.9024522572667;20.3676666666667;-1.4097167878087855;0.0
0.0;1.0;9.728242140483644;0.0;20.0;1.0;20.0;27.7799139824176;5.86876502424176;23.7252747252747;-0.4758197484525486;0.0
0.0;0.0;41.4186249443461;0.0;21.0;1.0;20.0;33.7393808444444;7.88370768264444;20.7052222222222;-1.3222547237197912;0.0
0.0;0.0;99.99629849686337;0.0;22.0;1.0;20.0;77.5389380387097;19.6887600800645;11.4551612903226;-3.801657992408595;0.0
0.0;0.0;38.70703177521633;0.0;1.0;1.0;30.0;35.5724660488889;8.64664713594444;20.8487777777778;-1.2694375557514028;0.0
0.0;1.0;22.84242905000562;0.0;3.0;1.0;30.0;30.1871847244444;7.33269585551111;22.1604444444444;-0.9191604137456744;0.0
0.0;0.0;38.6734841833604;0.0;4.0;1.0;30.0;32.235924021978;8.67738828630769;20.9187912087912;-1.268776090023314;0.0
0.0;1.0;16.493318089178928;0.0;5.0;1.0;30.0;31.3579343151515;8.04974684758678;22.7491184573003;-0.7388676396906051;0.0
0.0;0.0;26.615175050023296;0.0;6.0;1.0;30.0;31.2253003244898;7.73643960808163;21.8209693877551;-1.0117070277936553;0.0
0.0;1.0;22.601517677804353;0.0;7.0;1.0;30.0;42.7729661733333;9.53674316563333;21.9106666666667;-0.9129542753041352;0.0
0.0;1.0;20.56912576978496;0.0;8.0;1.0;30.0;31.95807388;8.26517740981111;22.3273333333333;-0.8588899691723207;0.0
0.0;0.0;38.8689625533773;0.0;9.0;1.0;30.0;35.1015477010989;9.59962279045055;20.8482417582418;-1.2726274255775718;0.0
0.0;0.0;51.05792877877932;0.0;10.0;1.0;30.0;38.140506843956;9.01274628762637;19.9991208791209;-1.5029043360073888;0.0
0.0;0.0;27.1437317912781;0.0;11.0;1.0;30.0;32.7766611845304;14.268232314337;21.7466298342541;-1.0240626544788909;0.0
0.0;1.0;15.028844056086712;0.0;12.0;1.0;30.0;31.2818958573529;9.11600449608824;22.9150735294118;-0.6906451654011687;0.0
0.0;1.0;16.08570199760773;0.0;13.0;1.0;30.0;29.9487534276243;8.21951344579558;22.8254143646409;-0.7257717205383861;0.0
0.0;0.0;27.55065088531927;0.0;14.0;1.0;30.0;20.8477532043956;7.58747478125275;28.9918681318681;1.0334857794812482;1.0
0.0;1.0;14.976608743432152;0.0;15.0;1.0;30.0;30.4411963876923;8.0891144587;22.9394615384615;-0.688861821767798;0.0
0.0;1.0;5.481790254275452;0.0;16.0;1.0;30.0;25.3254826153846;7.62939453138462;24.8828571428571;-0.1524807003967313;0.0
0.0;1.0;12.839915565839163;0.0;17.0;1.0;30.0;28.4906968324723;7.57308903702214;23.2481180811808;-0.6113728883182594;0.0
0.0;0.0;40.60577397299204;0.0;18.0;1.0;30.0;35.3187972967033;7.33595628026374;20.7268131868132;-1.3065488337025921;0.0
0.0;0.0;46.92348321247851;0.0;19.0;1.0;30.0;35.6405361274725;14.0431163078462;20.3091208791209;-1.4263963039817504;0.0
0.0;1.0;9.773346292310961;0.0;20.0;1.0;30.0;27.7913305142857;6.24604277575824;23.7174725274725;-0.47806690054959783;0.0
0.0;0.0;41.57327480372727;0.0;21.0;1.0;30.0;33.7360095956044;7.96475253303297;20.6949450549451;-1.3252315622180941;0.0
0.0;0.0;99.9962081417277;0.0;22.0;1.0;30.0;77.5328655612903;18.8273768264194;11.4645161290323;-3.798983495112463;0.0
0.0;0.0;38.91354614007898;0.0;1.0;1.0;40.0;35.599370567033;8.25819078442857;20.8338461538462;-1.2735048219258285;0.0
0.0;1.0;23.426510046275325;0.0;3.0;1.0;40.0;30.1926674417582;7.25211678010989;22.1081318681319;-0.9340447175828994;0.0
0.0;0.0;38.99671884881652;0.0;4.0;1.0;40.0;32.2398273098901;8.63546853614286;20.8972527472527;-1.2751406665070493;0.0
0.0;1.0;16.6984140041874;0.0;5.0;1.0;40.0;31.3926836861878;8.04037020403315;22.7261602209945;-0.7453690904967923;0.0
0.0;0.0;26.85123345686341;0.0;6.0;1.0;40.0;31.2209362938775;7.54181219657398;21.8026020408163;-1.0172416379196638;0.0
0.0;1.0;22.895838388909453;0.0;7.0;1.0;40.0;42.80747;9.28243001443333;21.8846666666667;-0.9205309147305538;0.0
0.0;1.0;21.118831757638844;0.0;8.0;1.0;40.0;31.9766508615385;8.46778953576923;22.2754945054945;-0.8738316560389461;0.0
0.0;0.0;38.96312412834404;0.0;9.0;1.0;40.0;35.1098193802198;9.43194378978022;20.8412087912088;-1.2744800769608278;0.0
